ID_int,DLC0,DLC1,DLC2,DLC3,DLC4,DLC5,DLC6,DLC7,Label,Delta_T
1306,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.01074507122951685
1266,0.0,0.0,112.0,56.0,0.0,0.0,0.0,197.0,0,0.009792603548243224
790,5.0,24.0,224.0,9.0,24.0,23.0,0.0,127.0,0,0.01097153280715104
356,0.0,8.0,0.0,0.0,0.0,0.0,13.0,5.0,0,0.012284544784612036
1266,0.0,0.0,208.0,56.0,0.0,0.0,0.0,164.0,0,0.009648769937914995
809,64.0,169.0,127.0,140.0,17.0,47.0,0.0,16.0,0,0.00964879456457623
399,0.0,41.0,31.0,0.0,0.0,67.0,0.0,0.0,0,0.012368819223261088
67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.011151152093729364
544,240.0,3.0,249.0,3.0,12.0,0.0,65.0,16.0,0,0.009295788421097571
1201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.010813840065378949
688,36.0,0.0,0.0,7.0,186.0,0.0,0.0,0.0,0,0.009304873460781307
129,127.0,132.0,102.0,0.0,0.0,0.0,0.0,108.0,0,0.009301405369644616
544,238.0,3.0,253.0,3.0,12.0,0.0,64.0,16.0,0,0.01036294340734905
544,238.0,3.0,2.0,4.0,9.0,0.0,58.0,16.0,0,0.007130079633013303
1087,16.0,80.0,96.0,255.0,92.0,248.0,8.0,0.0,0,0.007412623251230451
880,255.0,32.0,0.0,128.0,255.0,0.0,0.0,160.0,0,0.009156568706138542
1306,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.008480753319498364
544,237.0,3.0,5.0,4.0,9.0,0.0,65.0,16.0,0,0.01047137099889291
161,128.0,134.0,128.0,128.0,38.0,0.0,0.0,0.0,0,0.008637963886718183
128,0.0,23.0,196.0,9.0,24.0,23.0,24.0,65.0,0,0.007881544447997064
339,0.0,128.0,16.0,255.0,0.0,255.0,224.0,110.0,1,0.006099236576691165
339,0.0,128.0,16.0,255.0,0.0,255.0,224.0,110.0,1,0.0048306677746350985
339,0.0,128.0,16.0,255.0,0.0,255.0,224.0,110.0,1,0.005050646153515943
339,0.0,128.0,16.0,255.0,0.0,255.0,224.0,110.0,1,0.003931438860339908
688,28.0,0.0,0.0,7.0,40.0,0.0,0.0,0.0,0,0.009183425913212227
1087,16.0,80.0,96.0,255.0,78.0,44.0,9.0,0.0,0,0.010166383884564797
672,2.0,0.0,106.0,157.0,219.0,12.0,186.0,2.0,0,0.008273509633866546
129,127.0,132.0,100.0,0.0,0.0,0.0,0.0,19.0,0,0.010563547027518508
608,5.0,23.0,0.0,48.0,255.0,140.0,93.0,42.0,0,0.009099041965121792
544,239.0,3.0,245.0,3.0,12.0,0.0,60.0,16.0,0,0.009562459375310086
790,5.0,32.0,202.0,9.0,32.0,24.0,0.0,127.0,0,0.009097440081655904
399,0.0,46.0,24.0,0.0,0.0,63.0,0.0,0.0,0,0.012778417276763406
1201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.009979754162893099
339,0.0,128.0,16.0,255.0,0.0,255.0,224.0,110.0,0,0.00841343360656615
